,time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years,dt,state,T_gas,T_steam,p_gas,p_steam
88,1900800,22.0,-3.5805696613687e-05,4.3382069169389e-05,-7.5763725557014005e-06,-1.5430045744404e-08,1.7705502350117002e-08,-2.2754566057124e-09,-16.676959184202,21.215536580086997,-1.9993550757558998,0.06111111111111099,50400.0,1,1100.0,530.0,0.2,17.0
92,1987200,23.0,-3.7114828013095e-05,4.4942250949743e-05,-7.8274229366477e-06,-1.6212694752681004e-08,1.861626378455e-08,-2.403569031869e-09,-16.67596198325,21.337176519025,-1.9849302274919,0.06388888888888901,50400.0,1,1100.0,530.0,0.2,17.0
96,2073600,24.0,-3.8405836289475e-05,4.6479323456269e-05,-8.073487166794e-06,-1.7002493382939e-08,1.9536416123692e-08,-2.5339227407527998e-09,-16.674986499558,21.458400723908998,-1.9705880529069,0.066666666666667,50400.0,1,1100.0,530.0,0.2,17.0
100,2160000,25.0,-3.9679469246527e-05,4.7994267753011e-05,-8.3147985064846e-06,-1.7799455984763997e-08,2.0465986981452e-08,-2.6665309966885e-09,-16.674010204513,21.579145850655998,-1.9563410908468,0.069444444444444,50400.0,1,1100.0,530.0,0.2,17.0
104,2246400,26.0,-4.0936432497782e-05,4.9488008393684e-05,-8.5515758959019e-06,-1.8603597702439e-08,2.1405004970433998e-08,-2.8014072679941e-09,-16.673033823401,21.699416523711,-1.9421896810435,0.072222222222222,50400.0,1,1100.0,530.0,0.2,17.0
108,2332800,27.0,-4.217743874117e-05,5.0961473710826e-05,-8.7840349696559e-06,-1.9414947240434e-08,2.2353515709757997e-08,-2.9385684693247e-09,-16.671958527681998,21.822464352504,-1.9273331845148998,0.075,50400.0,1,1100.0,530.0,0.2,17.0
112,2419200,28.0,-4.3403042770707004e-05,5.2415393609645e-05,-9.012350838938001e-06,-2.0235642694681e-08,2.3316518573354e-08,-3.0808758786732e-09,-16.671055664801,21.939574027979997,-1.9136030505348,0.077777777777778,50400.0,1,1100.0,530.0,0.2,17.0
116,2505600,29.0,-4.4613813522546e-05,5.3850518975846e-05,-9.236705453300301e-06,-2.106360639846e-08,2.4289156092217996e-08,-3.2255496937582e-09,-16.669938865925,22.055871890366998,-1.9006593305254,0.08055555555555599,50400.0,1,1100.0,530.0,0.2,17.0
120,2592000,30.0,-4.5810288755011e-05,5.5267549490427e-05,-9.4572607354161e-06,-2.1901032513114e-08,2.5276511717335e-08,-3.3754792042207004e-09,-16.669025969776,22.169316014049002,-1.8881202960531003,0.083333333333333,50400.0,1,1100.0,530.0,0.2,17.0
124,2678400,31.0,-4.6993064824815e-05,5.6667256648545994e-05,-9.674191823731e-06,-2.2745824939747997e-08,2.6273686126957997e-08,-3.5278611872090996e-09,-16.66806726334,22.286022716961998,-1.8747715772328002,0.08611111111111099,50400.0,1,1100.0,530.0,0.2,17.0
128,2764800,32.0,-4.8162688345033e-05,5.8050346956012e-05,-9.8876586109788e-06,-2.3598014407169e-08,2.7280727492712997e-08,-3.6827130855435e-09,-16.667079658633,22.404682075711,-1.8609383325512001,0.08888888888888902,50400.0,1,1100.0,530.0,0.2,17.0
132,2851200,33.0,-4.931963924248e-05,5.9417445488524e-05,-1.0097806246044001e-05,-2.445762283639e-08,2.8297675553149998e-08,-3.8400527167596e-09,-16.666057809479998,22.523571197831,-1.8470510075986002,0.091666666666667,50400.0,1,1100.0,530.0,0.2,17.0
136,2937600,34.0,-5.0464352356877e-05,6.0769118621241004e-05,-1.0304766264364999e-05,-2.5324664846567002e-08,2.9324559028262996e-08,-3.999894181695399e-09,-16.665024495785,22.640783217126998,-1.8335181552988002,0.094444444444444,50400.0,1,1100.0,530.0,0.2,17.0
140,3024000,35.0,-5.1597279413635e-05,6.2105950616509e-05,-1.0508671202874e-05,-2.6199168322473e-08,3.0361424263409e-08,-4.1622559409363e-09,-16.663959193346,22.75865447564,-1.8198071945508,0.09722222222222197,50400.0,1,1100.0,530.0,0.2,17.0
144,3110400,36.0,-5.2718836833127e-05,6.3428479996099e-05,-1.0709643162972e-05,-2.7081157088307e-08,3.1408311508357996e-08,-4.3271544200516e-09,-16.662860849498998,22.876745782119002,-1.8058879251332,0.1,50400.0,1,1100.0,530.0,0.2,17.0
148,3196800,37.0,-5.3829402990206e-05,6.473719802902e-05,-1.0907795038814e-05,-2.7970650000177e-08,3.2465255666272005e-08,-4.4946056660954e-09,-16.661742820656,22.994151245194,-1.7921573671846003,0.10277777777778,50400.0,1,1100.0,530.0,0.2,17.0
152,3283200,38.0,-5.492933659579e-05,6.603256919779799e-05,-1.1103232602008e-05,-2.8867661487355e-08,3.3532282418698004e-08,-4.6646209313432e-09,-16.660584039017998,23.109151929153,-1.7788632832541,0.10555555555556,50400.0,1,1100.0,530.0,0.2,17.0
156,3369600,39.0,-5.601898313996801e-05,6.731504367388199e-05,-1.1296060533915e-05,-2.9772212776733e-08,3.4609432003586e-08,-4.8372192268535e-09,-16.659420786531,23.224025983293,-1.7655657066391999,0.10833333333333,50400.0,1,1100.0,530.0,0.2,17.0
160,3456000,40.0,-5.7098742829917004e-05,6.858513173137099e-05,-1.1486388901455e-05,-3.0684346531702e-08,3.5696769468921e-08,-5.012422937219e-09,-16.658752925738,23.341507457525,-1.7524474920503,0.11111111111111001,50400.0,1,1100.0,530.0,0.2,17.0
164,3542400,41.0,-5.8168913849441e-05,6.98432191635e-05,-1.1674305314060001e-05,-3.1604079073079003e-08,3.6794324778438e-08,-5.1902457053592e-09,-16.657691972454,23.457681338377,-1.7390447295848999,0.11388888888889,50400.0,1,1100.0,530.0,0.2,17.0
168,3628800,42.0,-5.9229731960372e-05,7.1089616209767e-05,-1.1859884249396001e-05,-3.2531401504442e-08,3.7902091495375e-08,-5.3706899909334e-09,-16.656682718951,23.568124495449,-1.7269890517666,0.11666666666667,50400.0,1,1100.0,530.0,0.2,17.0
172,3715200,43.0,-6.0281589007239e-05,7.2324816246807e-05,-1.2043227239568e-05,-3.3466387160727993e-08,3.9020183313722e-08,-5.5537961529938e-09,-16.655598584408,23.684483612123,-1.7133721600648,0.11944444444444001,50400.0,1,1100.0,530.0,0.2,17.0
176,3801600,44.0,-6.132476798243001e-05,7.3549188858362e-05,-1.2224420875932001e-05,-3.4409049044961e-08,4.0148623373177e-08,-5.739574328216201e-09,-16.654499818170002,23.801251665382,-1.6997086091211,0.12222222222222,50400.0,1,1100.0,530.0,0.2,17.0
180,3888000,45.0,-6.2359486138089e-05,7.4763014309102e-05,-1.2403528171013e-05,-3.5359393833966e-08,4.1287428361607e-08,-5.9280345276402e-09,-16.653441484538,23.913222948941,-1.6870342455586,0.125,50400.0,1,1100.0,530.0,0.2,17.0
184,3974400,46.0,-6.3386033226761e-05,7.596666262191099e-05,-1.258062939515e-05,-3.6317456415711005e-08,4.2436653130398e-08,-6.1191967146869995e-09,-16.652374650914,24.027459162856,-1.6739199352078997,0.12777777777778,50400.0,1,1100.0,530.0,0.2,17.0
188,4060800,47.0,-6.4404636622581e-05,7.716042740004599e-05,-1.2755790777465e-05,-3.7283255941447e-08,4.3596333346875e-08,-6.3130774054276e-09,-16.651344385491,24.139823025588,-1.6612759079091999,0.13055555555556,50400.0,1,1100.0,530.0,0.2,17.0
