,time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years,dt,state,T_gas,T_steam,p_gas,p_steam
62,950400.0,11.0,-9.3305215304559e-06,1.2404248058803999e-05,-3.0737265283483e-06,-7.390934867442e-09,8.4577160489123e-09,-1.0667811814703e-09,-16.685547421805,20.193658164365,-2.25243275062,0.030555555555556002,50400.0,1.0,1100.0,530.0,0.2,17.0
66,1036800.0,12.0,-1.0072306258347e-05,1.3392132677663e-05,-3.3198264193159e-06,-8.1146507083277e-09,9.2958136316295e-09,-1.1811629233018e-09,-16.684304106082,20.341588217298,-2.2446798429967,0.03333333333333299,50400.0,1.0,1100.0,530.0,0.2,17.0
70,1123200.0,13.0,-1.0801259669360001e-05,1.4363268689648001e-05,-3.5620090202881005e-06,-8.846461162032099e-09,1.0144815580875e-08,-1.2983544188429e-09,-16.683081059389,20.487106891227,-2.2370598126231,0.036111111111111,50400.0,1.0,1100.0,530.0,0.2,17.0
74,1209600.0,14.0,-1.151810150896e-05,1.5318608689541e-05,-3.8005071805807e-06,-9.5862994477961e-09,1.1004645007394e-08,-1.4183455595979998e-09,-16.681877274724,20.630333772622002,-2.2295653887815,0.038888888888889,50400.0,1.0,1100.0,530.0,0.2,17.0
78,1296000.0,15.0,-1.2223479371167e-05,1.6259008791066e-05,-4.0355294198986e-06,-1.0334102327013e-08,1.1875229297733e-08,-1.5411269707201e-09,-16.68069183738,20.771377775058998,-2.222190008517,0.041666666666667,50400.0,1.0,1100.0,530.0,0.2,17.0
82,1382400.0,16.0,-1.2917978666285e-05,1.7185242031646e-05,-4.2672633653608e-06,-1.1089809769048999e-08,1.2756499701574e-08,-1.6666899325253e-09,-16.679523912099,20.910338504491,-2.2149277248583,0.044444444444444,50400.0,1.0,1100.0,530.0,0.2,17.0
86,1468800.0,17.0,-1.3602130907164999e-05,1.8098009508816e-05,-4.495878601650799e-06,-1.1853364664278998e-08,1.3648390978268999e-08,-1.7950263139897e-09,-16.678372726415,21.047307432467,-2.2077731219316,0.047222222222222,50400.0,1.0,1100.0,530.0,0.2,17.0
90,1555200.0,18.0,-1.4276420714338e-05,1.8997949783654002e-05,-4.7215290693167996e-06,-1.2624712688447e-08,1.4550841230537e-08,-1.9261285420906e-09,-16.67723873928,21.182397548877002,-2.2007146543372,0.05,50400.0,1.0,1100.0,530.0,0.2,17.0
94,1641600.0,19.0,-1.494129203076e-05,1.9885646990123e-05,-4.944354959363599e-06,-1.3403803687440001e-08,1.5463793593226998e-08,-2.0599899057864e-09,-16.676161023596002,21.316069072111002,-2.1936640552938,0.05277777777777801,50400.0,1.0,1100.0,530.0,0.2,17.0
98,1728000.0,20.0,-1.5597152411317003e-05,2.0761637185917998e-05,-5.1644847746015e-06,-1.4190587906145001e-08,1.6387191638797e-08,-2.1966037326524997e-09,-16.675092842753,21.447981325364,-2.1867070474961,0.055555555555556,50400.0,1.0,1100.0,530.0,0.2,17.0
102,1814400.0,21.0,-1.6244375362260997e-05,2.1626410576664002e-05,-5.3820352144036e-06,-1.49850176293e-08,1.7320981361882e-08,-2.3359637325810998e-09,-16.674034556859,21.578193274305,-2.1798419046391,0.058333333333333,50400.0,1.0,1100.0,530.0,0.2,17.0
106,1900800.0,22.0,-1.6883308430255e-05,2.2480423671984e-05,-5.5971152417293e-06,-1.5787046389038e-08,1.8265110193908e-08,-2.4780638048698997e-09,-16.672982886953,21.706612495869003,-2.1730984402337,0.06111111111111099,50400.0,1.0,1100.0,530.0,0.2,17.0
110,1987200.0,23.0,-1.7514270415091e-05,2.3324093405185e-05,-5.8098229900946e-06,-1.6598720543834998e-08,1.9224554190967e-08,-2.6258336471322e-09,-16.671913183918,21.832707185732,-2.1664193436061,0.06388888888888901,50400.0,1.0,1100.0,530.0,0.2,17.0
114,2073600.0,24.0,-1.813757196301e-05,2.4157828395019e-05,-6.020256432008401e-06,-1.7420053526188e-08,2.0199366797338e-08,-2.7793132711494e-09,-16.670886577192,21.958851097295998,-2.159370807361,0.066666666666667,50400.0,1.0,1100.0,530.0,0.2,17.0
118,2160000.0,25.0,-1.8753462315709e-05,2.4981953697069e-05,-6.2284913813609e-06,-1.8248946310937e-08,2.1184591220492e-08,-2.9356449095547e-09,-16.669773610499,22.078173007034,-2.1544321997009996,0.069444444444444,50400.0,1.0,1100.0,530.0,0.2,17.0
122,2246400.0,26.0,-1.9362208352991e-05,2.5796816103967003e-05,-6.4346077509766e-06,-1.9085370916026e-08,2.2180194995499e-08,-3.0948240794731e-09,-16.668790329401,22.198116141371003,-2.1486236568334998,0.072222222222222,50400.0,1.0,1100.0,530.0,0.2,17.0
