time,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,nl_its,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz
86400,-1.9883578973854e-06,2.4555000069426e-06,-4.671421095572e-07,3,-5.9754760034813e-10,6.7472131113665e-10,-7.7173710788514e-11,-16.701015163863,18.489853717676,-2.3352857314237
103200,-2.6239029108351e-06,3.2361010252908e-06,-6.1219811445574e-07,2,-7.9346149116019e-10,8.9627619728751e-10,-1.0281470612732e-10,-16.701266305566,18.531266967612,-2.3313508797437
120000,-3.2534741033585e-06,4.0088342357347e-06,-7.5536013237622e-07,2,-9.9004712286017e-10,1.1186953267188e-09,-1.286482038586e-10,-16.700908922881,18.573773886879,-2.3261980169607
136800,-3.8772048103559e-06,4.7738807206405e-06,-8.9667591028458e-07,2,-1.1873041473963e-09,1.3419784306297e-09,-1.5467428323344e-10,-16.700552692568,18.616157500438,-2.3210498013086
138000,-3.8810210118273e-06,4.7799772940927e-06,-8.9895628226537e-07,3,-1.1873041473963e-09,1.3419784306297e-09,-1.5467428323344e-10,-14.444593585265,12.538276018263,-5.5871055950316
139200,-3.8811471703047e-06,4.7804904872065e-06,-8.9934331690185e-07,3,-1.1873041473963e-09,1.3419784306297e-09,-1.5467428323344e-10,-12.186872330932,6.6008998816685,-8.7121757060701
140400,-3.8810565647265e-06,4.7805896433556e-06,-8.9953307862917e-07,3,-1.1873041473963e-09,1.3419784306297e-09,-1.5467428323344e-10,-9.9280207793661,0.80308934809638,-11.69751196109
150000,-3.8803318757221e-06,4.7813829507644e-06,-9.0105107504233e-07,1,-1.1873041473963e-09,1.3419784306297e-09,-1.5467428323344e-10,-9.9276925096063,0.80461679369785,-11.696620379431
159600,-3.8796072793035e-06,4.782176334991e-06,-9.0256905568758e-07,1,-1.1873041473963e-09,1.3419784306297e-09,-1.5467428323344e-10,-9.9276847326585,0.80545286798764,-11.696422132906
169200,-3.8788827753114e-06,4.7829697960084e-06,-9.0408702069699e-07,1,-1.1873041473963e-09,1.3419784306297e-09,-1.5467428323344e-10,-9.9276773085402,0.80629198645331,-11.696220319335
170400,-3.8790091210941e-06,4.7834833720887e-06,-9.044742509946e-07,3,-1.1873041473963e-09,1.3419784306297e-09,-1.5467428323344e-10,-12.186019471012,6.6052747082938,-8.7099653955329
171600,-3.8828285222852e-06,4.789584226415e-06,-9.067557041298e-07,3,-1.1873041473963e-09,1.3419784306297e-09,-1.5467428323344e-10,-14.443533850849,12.543706721241,-5.5846001309526
172800,-3.9273745615959e-06,4.8442172749322e-06,-9.1684271333633e-07,3,-1.2014024035366e-09,1.3579379110687e-09,-1.5653550753215e-10,-16.699886208316,18.624167649911,-2.3192144150413
189600,-4.5452685625764e-06,5.6015314572176e-06,-1.0562628946412e-06,2,-1.3994393871982e-09,1.5822262616999e-09,-1.8278687450171e-10,-16.700139910559,18.665281007201,-2.3152244017322
206400,-5.1575804121609e-06,6.3515098722988e-06,-1.1939294601379e-06,2,-1.5981482473894e-09,1.8073792500056e-09,-2.0923100261612e-10,-16.699785178902,18.707473027686,-2.3100380017277
223200,-5.7644307592017e-06,7.0943160083922e-06,-1.3298852491905e-06,2,-1.7975284100158e-09,2.0333964443266e-09,-2.3586803431084e-10,-16.699431683158,18.749531700433,-2.3048728241482
224400,-5.768091985443e-06,7.1001589596726e-06,-1.3320669742296e-06,3,-1.7975284100158e-09,2.0333964443266e-09,-2.3586803431084e-10,-14.443470810436,12.671829717333,-5.5707449441763
225600,-5.7682089094505e-06,7.1006423096865e-06,-1.332433400236e-06,3,-1.7975284100158e-09,2.0333964443266e-09,-2.3586803431084e-10,-12.185748069978,6.73460580025,-8.6956620934182
226800,-5.7681192338752e-06,7.1007364414246e-06,-1.3326172075495e-06,3,-1.7975284100158e-09,2.0333964443266e-09,-2.3586803431084e-10,-9.926895238485,0.93692295170481,-11.680869944968
236400,-5.7674019825499e-06,7.1014895541483e-06,-1.3340875715984e-06,1,-1.7975284100158e-09,2.0333964443266e-09,-2.3586803431084e-10,-9.9265639562822,0.93846089732839,-11.67997359173
246000,-5.7666848215692e-06,7.1022427437769e-06,-1.3355579222077e-06,1,-1.7975284100158e-09,2.0333964443266e-09,-2.3586803431084e-10,-9.9265562732259,0.9393305273009,-11.679747395427
255600,-5.7659677508565e-06,7.1029960102315e-06,-1.3370282593751e-06,1,-1.7975284100158e-09,2.0333964443266e-09,-2.3586803431084e-10,-9.9265489051741,0.94019990414682,-11.679520954061
256800,-5.7660848544164e-06,7.1034797337559e-06,-1.3373948793395e-06,3,-1.7975284100158e-09,2.0333964443266e-09,-2.3586803431084e-10,-12.184893774255,6.7391542208652,-8.6932963254446
258000,-5.7697492608246e-06,7.1093269728574e-06,-1.3395777120328e-06,3,-1.7975284100158e-09,2.0333964443266e-09,-2.3586803431084e-10,-14.442408738305,12.677541992339,-5.5679739460836
259200,-5.8130920177685e-06,7.1623748584465e-06,-1.349282840678e-06,3,-1.8117788885626e-09,2.0495517324685e-09,-2.3777284390592e-10,-16.698761866431,18.757937028572,-2.3026309143781
276000,-6.4145063537579e-06,7.897993347741e-06,-1.4834869939831e-06,2,-2.0119457591685e-09,2.2765806836529e-09,-2.6463492448439e-10,-16.699018811937,18.798667771203,-2.2986889205421
292800,-7.0106925149365e-06,8.626755881201e-06,-1.6160633662645e-06,2,-2.2127833919731e-09,2.5044736951961e-09,-2.9169030322301e-10,-16.698667254768,18.840482171192,-2.2935515982773
309600,-7.6017601753056e-06,9.3488107480262e-06,-1.7470505727206e-06,2,-2.4142912513267e-09,2.7332303943822e-09,-3.189391430555e-10,-16.698316891932,18.882168177003,-2.2884364543034
310800,-7.605278061564e-06,9.3544194220146e-06,-1.7491413604506e-06,3,-2.4142912513267e-09,2.7332303943822e-09,-3.189391430555e-10,-14.442355257393,12.804526797217,-5.5542444191297
312000,-7.6053866557321e-06,9.3548756258315e-06,-1.7494889700995e-06,3,-2.4142912513267e-09,2.7332303943822e-09,-3.189391430555e-10,-12.184631822211,6.8673604150023,-8.6791035704046
313200,-7.6052978328933e-06,9.3549651803915e-06,-1.7496673474982e-06,3,-2.4142912513267e-09,2.7332303943822e-09,-3.189391430555e-10,-9.9257783453554,1.0697294455926,-11.664259022382
322800,-7.6045874018462e-06,9.3556816757514e-06,-1.7510942739052e-06,1,-2.4142912513267e-09,2.7332303943822e-09,-3.189391430555e-10,-9.9254462151204,1.0712756504049,-11.663360083764
332400,-7.6038770597151e-06,9.3563982476244e-06,-1.7525211879093e-06,1,-2.4142912513267e-09,2.7332303943822e-09,-3.189391430555e-10,-9.9254384751952,1.0721597725868,-11.663125027624
