time,dt,state,T_gas,T_steam,p_gas,p_steam
2642400.0,3600.0,4,1100.0,530.0,0.2,17.0
2646000.0,28800.0,2,845,525,0.1,10
2674800.0,3600.0,5,845.0,525.0,0.1,10.0
2678400.0,50400.0,1,1100,530,0.2,17
2728800.0,3600.0,4,1100.0,530.0,0.2,17.0
2732400.0,28800.0,2,845,525,0.1,10
2761200.0,3600.0,5,845.0,525.0,0.1,10.0
2764800.0,50400.0,1,1100,530,0.2,17
2815200.0,3600.0,4,1100.0,530.0,0.2,17.0
2818800.0,28800.0,2,845,525,0.1,10
2847600.0,3600.0,5,845.0,525.0,0.1,10.0
2851200.0,50400.0,1,1100,530,0.2,17
2901600.0,3600.0,4,1100.0,530.0,0.2,17.0
2905200.0,28800.0,2,845,525,0.1,10
2934000.0,3600.0,5,845.0,525.0,0.1,10.0
2937600.0,50400.0,1,1100,530,0.2,17
2988000.0,3600.0,4,1100.0,530.0,0.2,17.0
2991600.0,28800.0,2,845,525,0.1,10
3020400.0,3600.0,5,845.0,525.0,0.1,10.0
3024000.0,50400.0,1,1100,530,0.2,17
3074400.0,3600.0,4,1100.0,530.0,0.2,17.0
3078000.0,28800.0,2,845,525,0.1,10
3106800.0,3600.0,5,845.0,525.0,0.1,10.0
3110400.0,50400.0,1,1100,530,0.2,17
3160800.0,3600.0,4,1100.0,530.0,0.2,17.0
3164400.0,28800.0,2,845,525,0.1,10
3193200.0,3600.0,5,845.0,525.0,0.1,10.0
3196800.0,50400.0,1,1100,530,0.2,17
3247200.0,3600.0,4,1100.0,530.0,0.2,17.0
3250800.0,28800.0,2,845,525,0.1,10
3279600.0,3600.0,5,845.0,525.0,0.1,10.0
3283200.0,50400.0,1,1100,530,0.2,17
3333600.0,3600.0,4,1100.0,530.0,0.2,17.0
3337200.0,28800.0,2,845,525,0.1,10
3366000.0,3600.0,5,845.0,525.0,0.1,10.0
3369600.0,50400.0,1,1100,530,0.2,17
3420000.0,3600.0,4,1100.0,530.0,0.2,17.0
3423600.0,28800.0,2,845,525,0.1,10
3452400.0,3600.0,5,845.0,525.0,0.1,10.0
3456000.0,50400.0,1,1100,530,0.2,17
3506400.0,3600.0,4,1100.0,530.0,0.2,17.0
3510000.0,28800.0,2,845,525,0.1,10
3538800.0,3600.0,5,845.0,525.0,0.1,10.0
3542400.0,50400.0,1,1100,530,0.2,17
3592800.0,3600.0,4,1100.0,530.0,0.2,17.0
3596400.0,28800.0,2,845,525,0.1,10
3625200.0,3600.0,5,845.0,525.0,0.1,10.0
3628800.0,50400.0,1,1100,530,0.2,17
3679200.0,3600.0,4,1100.0,530.0,0.2,17.0
3682800.0,28800.0,2,845,525,0.1,10
3711600.0,3600.0,5,845.0,525.0,0.1,10.0
3715200.0,50400.0,1,1100,530,0.2,17
3765600.0,3600.0,4,1100.0,530.0,0.2,17.0
3769200.0,28800.0,2,845,525,0.1,10
3798000.0,3600.0,5,845.0,525.0,0.1,10.0
3801600.0,50400.0,1,1100,530,0.2,17
3852000.0,3600.0,4,1100.0,530.0,0.2,17.0
3855600.0,28800.0,2,845,525,0.1,10
3884400.0,3600.0,5,845.0,525.0,0.1,10.0
3888000.0,50400.0,1,1100,530,0.2,17
3938400.0,3600.0,4,1100.0,530.0,0.2,17.0
3942000.0,28800.0,2,845,525,0.1,10
3970800.0,3600.0,5,845.0,525.0,0.1,10.0
3974400.0,50400.0,1,1100,530,0.2,17
4024800.0,3600.0,4,1100.0,530.0,0.2,17.0
4028400.0,28800.0,2,845,525,0.1,10
4057200.0,3600.0,5,845.0,525.0,0.1,10.0
4060800.0,50400.0,1,1100,530,0.2,17
4111200.0,3600.0,4,1100.0,530.0,0.2,17.0
4114800.0,28800.0,2,845,525,0.1,10
4143600.0,3600.0,5,845.0,525.0,0.1,10.0
4147200.0,50400.0,1,1100,530,0.2,17
4197600.0,3600.0,4,1100.0,530.0,0.2,17.0
4201200.0,28800.0,2,845,525,0.1,10
4230000.0,3600.0,5,845.0,525.0,0.1,10.0
4233600.0,50400.0,1,1100,530,0.2,17
4284000.0,3600.0,4,1100.0,530.0,0.2,17.0
4287600.0,28800.0,2,845,525,0.1,10
4316400.0,3600.0,5,845.0,525.0,0.1,10.0
4320000.0,50400.0,1,1100,530,0.2,17
4370400.0,3600.0,4,1100.0,530.0,0.2,17.0
4374000.0,28800.0,2,845,525,0.1,10
4402800.0,3600.0,5,845.0,525.0,0.1,10.0
4406400.0,50400.0,1,1100,530,0.2,17
4456800.0,3600.0,4,1100.0,530.0,0.2,17.0
4460400.0,28800.0,2,845,525,0.1,10
4489200.0,3600.0,5,845.0,525.0,0.1,10.0
4492800.0,50400.0,1,1100,530,0.2,17
4543200.0,3600.0,4,1100.0,530.0,0.2,17.0
4546800.0,28800.0,2,845,525,0.1,10
4575600.0,3600.0,5,845.0,525.0,0.1,10.0
4579200.0,50400.0,1,1100,530,0.2,17
4629600.0,3600.0,4,1100.0,530.0,0.2,17.0
4633200.0,28800.0,2,845,525,0.1,10
4662000.0,3600.0,5,845.0,525.0,0.1,10.0
4665600.0,50400.0,1,1100,530,0.2,17
4716000.0,3600.0,4,1100.0,530.0,0.2,17.0
4719600.0,28800.0,2,845,525,0.1,10
4748400.0,3600.0,5,845.0,525.0,0.1,10.0
4752000.0,50400.0,1,1100,530,0.2,17
4802400.0,3600.0,4,1100.0,530.0,0.2,17.0
4806000.0,28800.0,2,845,525,0.1,10
4834800.0,3600.0,5,845.0,525.0,0.1,10.0
4838400.0,50400.0,1,1100,530,0.2,17
4888800.0,3600.0,4,1100.0,530.0,0.2,17.0
4892400.0,28800.0,2,845,525,0.1,10
4921200.0,3600.0,5,845.0,525.0,0.1,10.0
4924800.0,50400.0,1,1100,530,0.2,17
4975200.0,3600.0,4,1100.0,530.0,0.2,17.0
4978800.0,28800.0,2,845,525,0.1,10
5007600.0,3600.0,5,845.0,525.0,0.1,10.0
5011200.0,50400.0,1,1100,530,0.2,17
5061600.0,3600.0,4,1100.0,530.0,0.2,17.0
5065200.0,28800.0,2,845,525,0.1,10
5094000.0,3600.0,5,845.0,525.0,0.1,10.0
5097600.0,50400.0,1,1100,530,0.2,17
5148000.0,3600.0,4,1100.0,530.0,0.2,17.0
5151600.0,28800.0,2,845,525,0.1,10
5180400.0,3600.0,5,845.0,525.0,0.1,10.0
5184000.0,50400.0,1,1100,530,0.2,17
5234400.0,3600.0,4,1100.0,530.0,0.2,17.0
5238000.0,28800.0,2,845,525,0.1,10
5266800.0,3600.0,5,845.0,525.0,0.1,10.0
5270400.0,50400.0,1,1100,530,0.2,17
5320800.0,3600.0,4,1100.0,530.0,0.2,17.0
5324400.0,28800.0,2,845,525,0.1,10
5353200.0,3600.0,5,845.0,525.0,0.1,10.0
5356800.0,50400.0,1,1100,530,0.2,17
5407200.0,3600.0,4,1100.0,530.0,0.2,17.0
5410800.0,28800.0,2,845,525,0.1,10
5439600.0,3600.0,5,845.0,525.0,0.1,10.0
5443200.0,50400.0,1,1100,530,0.2,17
5493600.0,3600.0,4,1100.0,530.0,0.2,17.0
5497200.0,28800.0,2,845,525,0.1,10
5526000.0,3600.0,5,845.0,525.0,0.1,10.0
5529600.0,50400.0,1,1100,530,0.2,17
5580000.0,3600.0,4,1100.0,530.0,0.2,17.0
5583600.0,28800.0,2,845,525,0.1,10
5612400.0,3600.0,5,845.0,525.0,0.1,10.0
5616000.0,50400.0,1,1100,530,0.2,17
5666400.0,3600.0,4,1100.0,530.0,0.2,17.0
5670000.0,28800.0,2,845,525,0.1,10
5698800.0,3600.0,5,845.0,525.0,0.1,10.0
5702400.0,50400.0,1,1100,530,0.2,17
5752800.0,3600.0,4,1100.0,530.0,0.2,17.0
5756400.0,28800.0,2,845,525,0.1,10
5785200.0,3600.0,5,845.0,525.0,0.1,10.0
5788800.0,50400.0,1,1100,530,0.2,17
5839200.0,3600.0,4,1100.0,530.0,0.2,17.0
5842800.0,28800.0,2,845,525,0.1,10
5871600.0,3600.0,5,845.0,525.0,0.1,10.0
5875200.0,50400.0,1,1100,530,0.2,17
5925600.0,3600.0,4,1100.0,530.0,0.2,17.0
5929200.0,28800.0,2,845,525,0.1,10
5958000.0,3600.0,5,845.0,525.0,0.1,10.0
5961600.0,50400.0,1,1100,530,0.2,17
6012000.0,3600.0,4,1100.0,530.0,0.2,17.0
6015600.0,28800.0,2,845,525,0.1,10
6044400.0,3600.0,5,845.0,525.0,0.1,10.0
6048000.0,50400.0,1,1100,530,0.2,17
6098400.0,3600.0,4,1100.0,530.0,0.2,17.0
6102000.0,28800.0,2,845,525,0.1,10
6130800.0,3600.0,5,845.0,525.0,0.1,10.0
6134400.0,50400.0,1,1100,530,0.2,17
6184800.0,3600.0,4,1100.0,530.0,0.2,17.0
6188400.0,28800.0,2,845,525,0.1,10
6217200.0,3600.0,5,845.0,525.0,0.1,10.0
6220800.0,50400.0,1,1100,530,0.2,17
6271200.0,3600.0,4,1100.0,530.0,0.2,17.0
6274800.0,28800.0,2,845,525,0.1,10
6303600.0,3600.0,5,845.0,525.0,0.1,10.0
6307200.0,50400.0,1,1100,530,0.2,17
6357600.0,3600.0,4,1100.0,530.0,0.2,17.0
6361200.0,28800.0,2,845,525,0.1,10
6390000.0,3600.0,5,845.0,525.0,0.1,10.0
6393600.0,50400.0,1,1100,530,0.2,17
6444000.0,3600.0,4,1100.0,530.0,0.2,17.0
6447600.0,28800.0,2,845,525,0.1,10
6476400.0,3600.0,5,845.0,525.0,0.1,10.0
6480000.0,50400.0,1,1100,530,0.2,17
6530400.0,3600.0,4,1100.0,530.0,0.2,17.0
6534000.0,28800.0,2,845,525,0.1,10
6562800.0,3600.0,5,845.0,525.0,0.1,10.0
6566400.0,50400.0,1,1100,530,0.2,17
6616800.0,3600.0,4,1100.0,530.0,0.2,17.0
6620400.0,28800.0,2,845,525,0.1,10
6649200.0,3600.0,5,845.0,525.0,0.1,10.0
6652800.0,50400.0,1,1100,530,0.2,17
6703200.0,3600.0,4,1100.0,530.0,0.2,17.0
6706800.0,28800.0,2,845,525,0.1,10
6735600.0,3600.0,5,845.0,525.0,0.1,10.0
6739200.0,50400.0,1,1100,530,0.2,17
6789600.0,3600.0,4,1100.0,530.0,0.2,17.0
6793200.0,28800.0,2,845,525,0.1,10
6822000.0,3600.0,5,845.0,525.0,0.1,10.0
6825600.0,50400.0,1,1100,530,0.2,17
6876000.0,3600.0,4,1100.0,530.0,0.2,17.0
6879600.0,28800.0,2,845,525,0.1,10
6908400.0,3600.0,5,845.0,525.0,0.1,10.0
6912000.0,50400.0,1,1100,530,0.2,17
6962400.0,3600.0,4,1100.0,530.0,0.2,17.0
6966000.0,28800.0,2,845,525,0.1,10
6994800.0,3600.0,5,845.0,525.0,0.1,10.0
6998400.0,50400.0,1,1100,530,0.2,17
7048800.0,3600.0,4,1100.0,530.0,0.2,17.0
7052400.0,28800.0,2,845,525,0.1,10
7081200.0,3600.0,5,845.0,525.0,0.1,10.0
7084800.0,50400.0,1,1100,530,0.2,17
7135200.0,3600.0,4,1100.0,530.0,0.2,17.0
7138800.0,28800.0,2,845,525,0.1,10
7167600.0,3600.0,5,845.0,525.0,0.1,10.0
7171200.0,50400.0,1,1100,530,0.2,17
7221600.0,3600.0,4,1100.0,530.0,0.2,17.0
7225200.0,28800.0,2,845,525,0.1,10
7254000.0,3600.0,5,845.0,525.0,0.1,10.0
7257600.0,50400.0,1,1100,530,0.2,17
7308000.0,3600.0,4,1100.0,530.0,0.2,17.0
7311600.0,28800.0,2,845,525,0.1,10
7340400.0,3600.0,5,845.0,525.0,0.1,10.0
7344000.0,50400.0,1,1100,530,0.2,17
7394400.0,3600.0,4,1100.0,530.0,0.2,17.0
7398000.0,28800.0,2,845,525,0.1,10
7426800.0,3600.0,5,845.0,525.0,0.1,10.0
7430400.0,50400.0,1,1100,530,0.2,17
7480800.0,3600.0,4,1100.0,530.0,0.2,17.0
7484400.0,28800.0,2,845,525,0.1,10
7513200.0,3600.0,5,845.0,525.0,0.1,10.0
7516800.0,50400.0,1,1100,530,0.2,17
7567200.0,3600.0,4,1100.0,530.0,0.2,17.0
7570800.0,28800.0,2,845,525,0.1,10
7599600.0,3600.0,5,845.0,525.0,0.1,10.0
7603200.0,50400.0,1,1100,530,0.2,17
7653600.0,3600.0,4,1100.0,530.0,0.2,17.0
7657200.0,28800.0,2,845,525,0.1,10
7686000.0,3600.0,5,845.0,525.0,0.1,10.0
7689600.0,50400.0,1,1100,530,0.2,17
7740000.0,3600.0,4,1100.0,530.0,0.2,17.0
7743600.0,28800.0,2,845,525,0.1,10
7772400.0,3600.0,5,845.0,525.0,0.1,10.0
7776000.0,50400.0,1,1100,530,0.2,17
7826400.0,3600.0,4,1100.0,530.0,0.2,17.0
7830000.0,28800.0,2,845,525,0.1,10
7858800.0,3600.0,5,845.0,525.0,0.1,10.0
7862400.0,50400.0,1,1100,530,0.2,17
7912800.0,3600.0,4,1100.0,530.0,0.2,17.0
7916400.0,28800.0,2,845,525,0.1,10
7945200.0,3600.0,5,845.0,525.0,0.1,10.0
7948800.0,50400.0,1,1100,530,0.2,17
7999200.0,3600.0,4,1100.0,530.0,0.2,17.0
8002800.0,28800.0,2,845,525,0.1,10
8031600.0,3600.0,5,845.0,525.0,0.1,10.0
8035200.0,50400.0,1,1100,530,0.2,17
8085600.0,3600.0,4,1100.0,530.0,0.2,17.0
8089200.0,28800.0,2,845,525,0.1,10
8118000.0,3600.0,5,845.0,525.0,0.1,10.0
8121600.0,50400.0,1,1100,530,0.2,17
8172000.0,3600.0,4,1100.0,530.0,0.2,17.0
8175600.0,28800.0,2,845,525,0.1,10
8204400.0,3600.0,5,845.0,525.0,0.1,10.0
8208000.0,50400.0,1,1100,530,0.2,17
8258400.0,3600.0,4,1100.0,530.0,0.2,17.0
8262000.0,28800.0,2,845,525,0.1,10
8290800.0,3600.0,5,845.0,525.0,0.1,10.0
8294400.0,50400.0,1,1100,530,0.2,17
8344800.0,3600.0,4,1100.0,530.0,0.2,17.0
8348400.0,28800.0,2,845,525,0.1,10
8377200.0,3600.0,5,845.0,525.0,0.1,10.0
8380800.0,50400.0,1,1100,530,0.2,17
8431200.0,3600.0,4,1100.0,530.0,0.2,17.0
8434800.0,28800.0,2,845,525,0.1,10
8463600.0,3600.0,5,845.0,525.0,0.1,10.0
8467200.0,50400.0,1,1100,530,0.2,17
8517600.0,3600.0,4,1100.0,530.0,0.2,17.0
8521200.0,28800.0,2,845,525,0.1,10
8550000.0,3600.0,5,845.0,525.0,0.1,10.0
8553600.0,50400.0,1,1100,530,0.2,17
8604000.0,3600.0,4,1100.0,530.0,0.2,17.0
8607600.0,28800.0,2,845,525,0.1,10
8636400.0,3600.0,5,845.0,525.0,0.1,10.0
8640000.0,50400.0,1,1100,530,0.2,17
